top_category,NAICS code,alpha,beta,correlation
Building Material and Supplies Dealers,4441,1.9,1.0,0.2956
Bakeries and Tortilla Manufacturing,311811,3.0,1.0,0.3894
Other Miscellaneous Manufacturing,3399,3.0,1.0,0.3263
Gasoline Stations,447110,1.9,1.0,0.2871
Offices of Dentists,621210,1.6,1.0,0.3172
Activities Related to Credit Intermediation,522310,2.1,2.3,0.3638
"Justice, Public Order, and Safety Activities",922110,3.0,1.6,0.3092
Other Miscellaneous Store Retailers,453991,3.0,1.0,0.4263
"Automotive Parts, Accessories, and Tire Stores",441310,1.7,1.0,0.4828
"Beer, Wine, and Liquor Stores",445310,1.5,1.6,0.3356
"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,2.0,1.0,0.3356
Lessors of Real Estate,531120,2.6,1.5,0.5333
Depository Credit Intermediation,522110,3.0,2.5,0.2561
"Colleges, Universities, and Professional Schools",611310,1.3,1.0,0.6215
Offices of Real Estate Agents and Brokers,531210,2.8,3.0,0.4245
Other Financial Investment Activities,523930,3.0,1.0,0.434
Wired and Wireless Telecommunications Carriers,517312,1.5,1.5,0.3261
Medical and Diagnostic Laboratories,621511,1.4,2.0,0.371
Outpatient Care Centers,6214,3.0,2.5,0.367
Other Personal Services,812910,3.0,1.4,0.3745
"Jewelry, Luggage, and Leather Goods Stores",448310,3.0,1.0,0.3545
Sound Recording Industries,512240,3.0,1.0,0.3673
Insurance Carriers,524113,1.6,1.8,0.5514
